kecamatan,periode,ndvi_unmasked_mean,ndvi_cropland_mean,cropland_pct
Sumber,2021Q1,0.5576250002896769,0.5091458971491396,49.12904702586943
Bulu,2021Q1,0.6895049365085743,0.6561638208520816,17.451105549217562
Rembang,2021Q2,0.3971769513668146,0.409722153088294,50.751505873221056
Pancur,2021Q2,0.645941582321705,0.5290231472284602,15.481337496922354
Lasem,2021Q2,0.5257635170872272,0.4455518394618096,16.459052860811457
Kragan,2021Q2,0.6038559557996613,0.5582976526233544,29.170556633757567
Sluke,2021Q2,0.5605415940623477,0.4981065994618035,9.12217467688561
Pamotan,2021Q2,0.5609978737890353,0.5263886853809626,36.56497268033711
Sulang,2021Q2,0.5815286544869667,0.5156086820010547,40.142089477030915
Sarang,2021Q2,0.5602526649493097,0.5071792212034978,49.28458162386916
Sedan,2021Q2,0.6194141881163691,0.5586717329024474,26.368444325462082
Kaliori,2021Q2,0.37743578652456305,0.4420799657749954,57.65315120181934
Gunem,2021Q2,0.5976043590287391,0.5134672183949492,24.57658219889265
Sale,2021Q2,0.6222654836705054,0.5201389382619421,15.059284300707068
Sumber,2021Q2,0.5465056745833093,0.472770915469296,49.12904702586943
Bulu,2021Q2,0.6420455677024904,0.4888971970914302,17.451105549217562
Rembang,2021Q3,0.3176377492519517,0.29864653476952996,50.751505873221056
Pancur,2021Q3,0.5609692045874279,0.43150081532815393,15.481337496922354
Lasem,2021Q3,0.49633668966224676,0.393336215572744,16.459052860811457
Kragan,2021Q3,0.5396596827525983,0.43052796041991725,29.170556633757567
Sluke,2021Q3,0.6032691365995063,0.45141759399055975,9.12217467688561
Pamotan,2021Q3,0.4814215672757946,0.4420725760153744,36.56497268033711
Sulang,2021Q3,0.4794722654324884,0.43852198925746616,40.142089477030915
Sarang,2021Q3,0.4240347595536642,0.35860858375490506,49.28458162386916
Sedan,2021Q3,0.5165563631870727,0.4294657883888161,26.368444325462082
Kaliori,2021Q3,0.30792465303650524,0.34439242937086645,57.65315120181934
Gunem,2021Q3,0.45460722995863373,0.38975851112869997,24.57658219889265
Sale,2021Q3,0.5187003457502911,0.46574345206799356,15.059284300707068
Sumber,2021Q3,0.5040395638025267,0.4531694396379983,49.12904702586943
Bulu,2021Q3,0.5530429338391825,0.46781430305559146,17.451105549217562
Rembang,2021Q4,0.2613897051006681,0.2325053815512691,50.751505873221056
Pancur,2021Q4,0.4760448562863705,0.35093608035020496,15.481337496922354
Lasem,2021Q4,0.36091414727186916,0.25143764395425855,16.459052860811457
Kragan,2021Q4,0.48970904719357916,0.39242124929550803,29.170556633757567
Sluke,2021Q4,0.5323882749197484,0.4554531152291777,9.12217467688561
Pamotan,2021Q4,0.375035257662639,0.31532276621856886,36.56497268033711
Sulang,2021Q4,0.3530969155746965,0.2876126114227412,40.142089477030915
Sarang,2021Q4,0.39171703682097403,0.32630979611520605,49.28458162386916
Sedan,2021Q4,0.4545718142781916,0.3537518692898352,26.368444325462082
Kaliori,2021Q4,0.2013452734651571,0.2101199938986313,57.65315120181934
Gunem,2021Q4,0.4154594280736241,0.3385545717451124,24.57658219889265
Sale,2021Q4,0.5189487710242587,0.4358496780490953,15.059284300707068
Sumber,2021Q4,0.38106388672866826,0.3326893260295957,49.12904702586943
Bulu,2021Q4,0.4585188059848573,0.39245236192667005,17.451105549217562
Rembang,2022Q1,0.4129836199758474,0.44858630403295086,50.751505873221056
Pancur,2022Q1,0.5864294453101975,0.5197689615255752,15.481337496922354
Lasem,2022Q1,0.44478833248078015,0.4042673005917183,16.459052860811457
Kragan,2022Q1,0.5907465063469289,0.559814262604234,29.170556633757567
Sluke,2022Q1,0.4991734075681981,0.4539093026605188,9.12217467688561
Pamotan,2022Q1,0.5733636057366821,0.5213828505256954,36.56497268033711
