kecamatan,tahun,ndvi_mean,n_quarter_ndvi,ntl_median,ntl_relative,n_quarter_ntl
Pancur,2021,0.5697529305095952,4,1.1149202492851817,1.0547757619543427,3
Pancur,2022,0.6354533362952282,4,1.0317720438191975,1.0122031303930168,3
Pancur,2023,0.44100711457416386,4,1.5729657973348667,1.0674106450044847,3
Pancur,2024,0.5518769510499054,4,1.399332692972381,1.1124307277890424,3
Pancur,2025,0.5381778434154814,4,1.0354017383522456,0.7019616460458229,3
Pancur,2026,0.6154979364910131,2,1.952487850189209,1.1001563930110705,1
Rembang,2010,0.554406291371879,2,10.999999999999998,1.5098039215686272,4
Rembang,2011,0.3823868608830414,3,9.999999999999998,1.538461538461538,4
Rembang,2012,0.2651446376224868,3,12.999999999999998,1.9782608695652173,1
Rembang,2013,0.5087786776940558,3,,,0
Rembang,2014,0.48115707705272037,4,1.0528976784859576,3.034081727920201,4
Rembang,2015,0.36533486924395536,3,1.4601105870063154,2.9739158165025543,4
Rembang,2016,0.5243257098856756,4,1.1054414928257095,2.708008847428728,4
Rembang,2017,0.4641479561813076,2,1.2806369468453964,1.7869624955451329,4
Rembang,2018,0.3422449007648201,3,1.5719035417054115,1.8167963461013805,4
Rembang,2019,0.35022498898649107,4,2.274654635542517,2.570684217568946,4
Rembang,2020,0.3929452796292325,3,2.2738097914176216,2.3740329874242967,4
Rembang,2021,0.3524602102935728,4,2.553553483019357,2.3781031300889173,3
Rembang,2022,0.4660638065238953,4,2.7331599035442946,2.8821059748759374,3
Rembang,2023,0.3435914597616991,4,3.5999235158508402,2.442116058517128,3
Rembang,2024,0.3750622766218758,4,2.930598727560851,2.2464138412282977,3
Rembang,2025,0.4194116437306107,4,3.347352226853482,2.6610029513045745,3
Rembang,2026,0.4546047680392221,2,4.331113521134137,2.440426058820626,1
Sale,2010,0.6667462985989545,2,6.0,0.8235294117647058,4
Sale,2011,0.5248124681468315,3,5.0,0.7692307692307693,4
Sale,2012,0.4053279311428987,3,0.0,0.0,1
Sale,2013,0.5994538807456334,3,,,0
Sale,2014,0.5845066141935646,4,0.14452868251500406,0.3667829993548709,4
Sale,2015,0.5275242701325455,3,0.26478674948268277,0.5470134831893982,4
